# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 7
# Split No.: 1
# Time: 20240727T152034
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
27T152037009;0;e9;c2fdffff0032a05a
27T152037030;0;e9;25feffff0032a05a
27T152037049;0;e9;21f0ffff0034a05a
27T152037069;0;e9;7ff1ffff0036a05a
27T152037089;0;e9;9df2ffff0030a05a
27T152037109;0;e9;c6f3ffff0034a05a
27T152037130;0;e9;4df4ffff0032a05a
27T152037149;0;e9;16f5ffff0036a05a
27T152037169;0;e9;f4f6ffff0030a05a
27T152037189;0;e9;aff7ffff0034a05a
27T152037209;0;e9;f6f8ffff0032a05a
27T152037230;0;e9;a8f9ffff0030a05a
27T152037249;0;e9;43faffff0038a05a
27T152037269;0;e9;14fbffff0034a05a
27T152037289;0;e9;a7fcffff0036a06e
27T152037309;0;e9;c1fdffff0030a05a
27T152037330;0;e9;23feffff0036a05a
27T152037349;0;e9;24f0ffff0032a05a
27T152037369;0;e9;79f1ffff0032a05a
27T152037389;0;e9;98f2ffff0036a05a
27T152037409;0;e9;c6f3ffff0034a05a
27T152037430;0;e9;4bf4ffff0036a05a
27T152037449;0;e9;15f5ffff0034a05a
27T152037469;0;e9;f1f6ffff0036a05a
27T152037489;0;e9;aaf7ffff0032a05a
27T152037509;0;e9;f0f8ffff0036a05a
27T152037530;0;e9;abf9ffff0032a05a
27T152037549;0;e9;4afaffff0036a05a
27T152037569;0;e9;14fbffff0034a05a
27T152037589;0;e9;9afcffff0034a05a
27T152037609;0;e9;c7fdffff0034a05a
27T152037630;0;e9;20feffff0034a05a
27T152037649;0;e9;22f0ffff0036a05a
27T152037669;0;e9;7af1ffff0030a05a
27T152037689;0;e9;98f2ffff0036a05a
27T152037709;0;e9;c3f3ffff0032a05a
27T152037730;0;e9;4bf4ffff0036a05a
27T152037749;0;e9;13f5ffff0030a05a
27T152037769;0;e9;f7f6ffff0032a05a
27T152037789;0;e9;aaf7ffff0032a05a
27T152037809;0;e9;f6f8ffff0032a05a
27T152037830;0;e9;f5f9ffff0038a046
27T152037849;0;e9;1dfaffff0032a046
27T152037869;0;e9;17fbffff0036a05a
27T152037889;0;e9;9cfcffff0030a05a
27T152037909;0;e9;c4fdffff0036a05a
27T152037930;0;e9;25feffff0032a05a
27T152037949;0;e9;2bf0ffff0038a05a
27T152037969;0;e9;7ff1ffff0036a05a
27T152037989;0;e9;9bf2ffff0034a05a
